"AVGSNOW","AVGTEMPERATURE","EXTRAVGTEMP","EXTRMAXTEMP","EXTRMINTEMP","ID","PERIOD","STATION","TOTRAIN","TOTSUNSHINE"
"0.0","18.9","20.6","27.3","12.5","1","1999-01-31","1","42.8","28.9"
"0.0","19.6","21.8","26.6","16.8","2","1999-01-31","2","33.3","36.8"
"0.0","12.4","0.0","0.0","0.0","3","1999-01-31","3","27.8","0.0"
"0.0","17.8","19.4","25.2","12.3","4","1999-01-31","4","41.4","32.4"
"0.0","4.0","6.3","8.0","3.3","5","1999-01-31","5","42.6","22.1"
"0.0","19.7","22.6","28.0","16.5","6","1999-01-31","6","28.5","31.2"
"0.0","21.1","23.0","29.3","16.3","7","1999-01-31","7","32.7","35.3"
"0.0","19.7","21.2","28.7","12.4","8","1999-01-31","8","7.3","35.7"
"0.0","23.9","0.0","0.0","0.0","9","1999-01-31","9","64.0","0.0"
"0.0","19.0","0.0","0.0","0.0","10","1999-01-31","10","62.1","0.0"
"0.0","19.3","0.0","0.0","0.0","11","1999-01-31","11","60.6","0.0"
"0.0","0.0","0.0","0.0","0.0","12","1999-01-31","12","56.3","0.0"
"0.0","18.8","20.4","26.5","13.5","13","1999-01-31","13","33.9","0.0"
"0.0","0.0","0.0","0.0","0.0","14","1999-01-31","14","40.8","0.0"
"0.0","19.1","0.0","0.0","0.0","15","1999-01-31","15","30.3","0.0"
"0.0","20.5","0.0","0.0","0.0","16","1999-01-31","16","29.2","0.0"
"0.0","20.8","0.0","0.0","0.0","17","1999-01-31","17","32.9","0.0"
"0.0","0.0","0.0","0.0","0.0","18","1999-01-31","18","0.0","0.0"
"0.0","19.1","22.0","26.7","15.2","19","1999-01-31","19","23.8","0.0"
"0.0","0.0","0.0","0.0","0.0","20","1999-01-31","20","0.0","0.0"
"0.0","20.2","0.0","0.0","0.0","21","1999-01-31","21","35.0","0.0"
"0.0","0.0","0.0","0.0","0.0","22","1999-01-31","22","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","23","1999-01-31","23","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","24","1999-01-31","24","0.0","0.0"
"0.0","19.8","0.0","0.0","0.0","25","1999-01-31","25","26.5","0.0"
"0.0","20.5","0.0","0.0","0.0","26","1999-01-31","26","22.6","0.0"
"0.0","0.0","0.0","0.0","0.0","27","1999-01-31","27","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","28","1999-01-31","28","0.0","0.0"
"0.0","14.2","0.0","0.0","0.0","29","1999-01-31","29","107.7","0.0"
"0.0","8.0","0.0","0.0","0.0","30","1999-01-31","30","40.0","0.0"
"0.0","0.0","0.0","0.0","0.0","31","1999-01-31","31","0.0","0.0"
"0.0","21.0","22.5","29.3","13.6","32","1999-01-31","32","33.6","0.0"
"0.5","7.2","8.4","8.5","7.2","33","1999-01-31","33","74.2","26.5"
"0.0","18.5","0.0","0.0","0.0","34","1999-01-31","34","19.4","0.0"
"0.0","20.4","0.0","0.0","0.0","35","1999-01-31","35","24.9","0.0"
"0.0","0.0","0.0","0.0","0.0","36","1999-01-31","36","0.0","0.0"
"0.0","19.0","0.0","0.0","0.0","37","1999-01-31","37","16.0","0.0"
"0.0","0.0","0.0","0.0","0.0","38","1999-01-31","38","0.0","0.0"
"0.0","20.0","21.2","25.8","16.6","39","1999-01-31","39","128.0","0.0"
"0.0","18.9","0.0","0.0","0.0","40","1999-01-31","40","26.0","0.0"
"0.0","0.0","0.0","0.0","0.0","41","1999-01-31","41","26.6","0.0"
"0.0","20.2","0.0","0.0","0.0","42","1999-01-31","42","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","43","1999-01-31","43","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","44","1999-01-31","44","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","45","1999-01-31","45","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","46","1999-01-31","46","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","47","1999-01-31","47","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","48","1999-01-31","48","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","49","1999-01-31","49","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","50","1999-01-31","50","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","51","1999-01-31","51","0.0","0.0"
